nwcbox_value,Layer#,I,J,Cell_ID,X,Y,Latitude,Longitude
1,1,108,2,1,390312.72,4064563.25,36.72043661,-76.22826359
2,1,108,3,2,386127.81,4065675.5,36.72996814,-76.27528109
3,1,108,4,3,384502.84,4068255.75,36.75302633,-76.29386566
4,1,117,4,4,414642.41,4075672.75,36.82307171,-75.9571063
11065,2,117,4,4,414642.41,4075672.75,36.82307171,-75.9571063
20212,3,117,4,4,414642.41,4075672.75,36.82307171,-75.9571063
27816,4,117,4,4,414642.41,4075672.75,36.82307171,-75.9571063
5,1,118,4,5,415892.41,4077278,36.83765255,-75.94326954
11066,2,118,4,5,415892.41,4077278,36.83765255,-75.94326954
20213,3,118,4,5,415892.41,4077278,36.83765255,-75.94326954
27817,4,118,4,5,415892.41,4077278,36.83765255,-75.94326954
6,1,119,4,6,416823.91,4078726,36.85078648,-75.93298256
11067,2,119,4,6,416823.91,4078726,36.85078648,-75.93298256
20214,3,119,4,6,416823.91,4078726,36.85078648,-75.93298256
27818,4,119,4,6,416823.91,4078726,36.85078648,-75.93298256
7,1,120,4,7,417568.41,4079990.5,36.86224926,-75.92476984
11068,2,120,4,7,417568.41,4079990.5,36.86224926,-75.92476984
20215,3,120,4,7,417568.41,4079990.5,36.86224926,-75.92476984
27819,4,120,4,7,417568.41,4079990.5,36.86224926,-75.92476984
8,1,121,4,8,418135.38,4081030.75,36.87167484,-75.9185222
11069,2,121,4,8,418135.38,4081030.75,36.87167484,-75.9185222
20216,3,121,4,8,418135.38,4081030.75,36.87167484,-75.9185222
27820,4,121,4,8,418135.38,4081030.75,36.87167484,-75.9185222
9,1,122,4,9,418582.09,4081911,36.87964757,-75.91360518
11070,2,122,4,9,418582.09,4081911,36.87964757,-75.91360518
20217,3,122,4,9,418582.09,4081911,36.87964757,-75.91360518
27821,4,122,4,9,418582.09,4081911,36.87964757,-75.91360518
10,1,123,4,10,418969.91,4082652.75,36.88636669,-75.90933316
11071,2,123,4,10,418969.91,4082652.75,36.88636669,-75.90933316
20218,3,123,4,10,418969.91,4082652.75,36.88636669,-75.90933316
27822,4,123,4,10,418969.91,4082652.75,36.88636669,-75.90933316
11,1,124,4,11,419268.12,4083278,36.89202792,-75.90605359
11072,2,124,4,11,419268.12,4083278,36.89202792,-75.90605359
20219,3,124,4,11,419268.12,4083278,36.89202792,-75.90605359
27823,4,124,4,11,419268.12,4083278,36.89202792,-75.90605359
12,1,125,4,12,419553.88,4083870.5,36.89739281,-75.90290977
11073,2,125,4,12,419553.88,4083870.5,36.89739281,-75.90290977
20220,3,125,4,12,419553.88,4083870.5,36.89739281,-75.90290977
27824,4,125,4,12,419553.88,4083870.5,36.89739281,-75.90290977
34205,5,125,4,12,419553.88,4083870.5,36.89739281,-75.90290977
39385,6,125,4,12,419553.88,4083870.5,36.89739281,-75.90290977
43576,7,125,4,12,419553.88,4083870.5,36.89739281,-75.90290977
13,1,126,4,13,419829.16,4084437.5,36.90252688,-75.89988045
11074,2,126,4,13,419829.16,4084437.5,36.90252688,-75.89988045
20221,3,126,4,13,419829.16,4084437.5,36.90252688,-75.89988045
27825,4,126,4,13,419829.16,4084437.5,36.90252688,-75.89988045
34206,5,126,4,13,419829.16,4084437.5,36.90252688,-75.89988045
39386,6,126,4,13,419829.16,4084437.5,36.90252688,-75.89988045
43577,7,126,4,13,419829.16,4084437.5,36.90252688,-75.89988045
46868,8,126,4,13,419829.16,4084437.5,36.90252688,-75.89988045
49408,9,126,4,13,419829.16,4084437.5,36.90252688,-75.89988045
51216,10,126,4,13,419829.16,4084437.5,36.90252688,-75.89988045
14,1,127,4,14,420095.38,4084985.25,36.9074866,-75.89695038
11075,2,127,4,14,420095.38,4084985.25,36.9074866,-75.89695038
20222,3,127,4,14,420095.38,4084985.25,36.9074866,-75.89695038
27826,4,127,4,14,420095.38,4084985.25,36.9074866,-75.89695038
34207,5,127,4,14,420095.38,4084985.25,36.9074866,-75.89695038
39387,6,127,4,14,420095.38,4084985.25,36.9074866,-75.89695038
43578,7,127,4,14,420095.38,4084985.25,36.9074866,-75.89695038
46869,8,127,4,14,420095.38,4084985.25,36.9074866,-75.89695038
49409,9,127,4,14,420095.38,4084985.25,36.9074866,-75.89695038
51217,10,127,4,14,420095.38,4084985.25,36.9074866,-75.89695038
15,1,128,4,15,420353.09,4085515.25,36.91228554,-75.89411359
11076,2,128,4,15,420353.09,4085515.25,36.91228554,-75.89411359
20223,3,128,4,15,420353.09,4085515.25,36.91228554,-75.89411359
27827,4,128,4,15,420353.09,4085515.25,36.91228554,-75.89411359
34208,5,128,4,15,420353.09,4085515.25,36.91228554,-75.89411359
39388,6,128,4,15,420353.09,4085515.25,36.91228554,-75.89411359
43579,7,128,4,15,420353.09,4085515.25,36.91228554,-75.89411359
46870,8,128,4,15,420353.09,4085515.25,36.91228554,-75.89411359
49410,9,128,4,15,420353.09,4085515.25,36.91228554,-75.89411359
51218,10,128,4,15,420353.09,4085515.25,36.91228554,-75.89411359
16,1,129,4,16,420602.75,4086030.5,36.91695079,-75.89136527
11077,2,129,4,16,420602.75,4086030.5,36.91695079,-75.89136527
20224,3,129,4,16,420602.75,4086030.5,36.91695079,-75.89136527
27828,4,129,4,16,420602.75,4086030.5,36.91695079,-75.89136527
34209,5,129,4,16,420602.75,4086030.5,36.91695079,-75.89136527
39389,6,129,4,16,420602.75,4086030.5,36.91695079,-75.89136527
43580,7,129,4,16,420602.75,4086030.5,36.91695079,-75.89136527
46871,8,129,4,16,420602.75,4086030.5,36.91695079,-75.89136527
49411,9,129,4,16,420602.75,4086030.5,36.91695079,-75.89136527
