108  2  1       1
108  3  1       2
108  4  1       3
117  4  4       4 11065 20212 27816
118  4  4       5 11066 20213 27817
119  4  4       6 11067 20214 27818
120  4  4       7 11068 20215 27819
121  4  4       8 11069 20216 27820
122  4  4       9 11070 20217 27821
123  4  4      10 11071 20218 27822
124  4  4      11 11072 20219 27823
125  4  7      12 11073 20220 27824 34205 39385 43576
126  4 10      13 11074 20221 27825 34206 39386 43577 46868 49408 51216
127  4 10      14 11075 20222 27826 34207 39387 43578 46869 49409 51217
128  4 10      15 11076 20223 27827 34208 39388 43579 46870 49410 51218
129  4 10      16 11077 20224 27828 34209 39389 43580 46871 49411 51219
130  4 10      17 11078 20225 27829 34210 39390 43581 46872 49412 51220
131  4 11      18 11079 20226 27830 34211 39391 43582 46873 49413 51221 52563
132  4 11      19 11080 20227 27831 34212 39392 43583 46874 49414 51222 52564
133  4 11      20 11081 20228 27832 34213 39393 43584 46875 49415 51223 52565
134  4  7      21 11082 20229 27833 34214 39394 43585
135  4  7      22 11083 20230 27834 34215 39395 43586
136  4  5      23 11084 20231 27835 34216
137  4  5      24 11085 20232 27836 34217
138  4  5      25 11086 20233 27837 34218
139  4  5      26 11087 20234 27838 34219
140  4  5      27 11088 20235 27839 34220
141  4  5      28 11089 20236 27840 34221
142  4  6      29 11090 20237 27841 34222 39396
143  4  6      30 11091 20238 27842 34223 39397
144  4  8      31 11092 20239 27843 34224 39398 43587 46876
145  4  6      32 11093 20240 27844 34225 39399
146  4  6      33 11094 20241 27845 34226 39400
147  4  6      34 11095 20242 27846 34227 39401
148  4  4      35 11096 20243 27847
149  4  4      36 11097 20244 27848
150  4  2      37 11098
151  4  2      38 11099
152  4  1      39
153  4  1      40
108  5  2      41 11100
117  5  4      42 11101 20245 27849
118  5  4      43 11102 20246 27850
119  5  4      44 11103 20247 27851
120  5  4      45 11104 20248 27852
121  5  4      46 11105 20249 27853
122  5  4      47 11106 20250 27854
123  5  4      48 11107 20251 27855
124  5  4      49 11108 20252 27856
125  5  7      50 11109 20253 27857 34228 39402 43588
126  5 10      51 11110 20254 27858 34229 39403 43589 46877 49416 51224
127  5 10      52 11111 20255 27859 34230 39404 43590 46878 49417 51225
128  5 10      53 11112 20256 27860 34231 39405 43591 46879 49418 51226
129  5 10      54 11113 20257 27861 34232 39406 43592 46880 49419 51227
130  5 10      55 11114 20258 27862 34233 39407 43593 46881 49420 51228
131  5 11      56 11115 20259 27863 34234 39408 43594 46882 49421 51229 52566
132  5 11      57 11116 20260 27864 34235 39409 43595 46883 49422 51230 52567
133  5 11      58 11117 20261 27865 34236 39410 43596 46884 49423 51231 52568
134  5  7      59 11118 20262 27866 34237 39411 43597
135  5  7      60 11119 20263 27867 34238 39412 43598
136  5  5      61 11120 20264 27868 34239
137  5  5      62 11121 20265 27869 34240
138  5  5      63 11122 20266 27870 34241
139  5  5      64 11123 20267 27871 34242
140  5  5      65 11124 20268 27872 34243
141  5  5      66 11125 20269 27873 34244
142  5  6      67 11126 20270 27874 34245 39413
143  5  6      68 11127 20271 27875 34246 39414
144  5  8      69 11128 20272 27876 34247 39415 43599 46885
145  5  6      70 11129 20273 27877 34248 39416
146  5  6      71 11130 20274 27878 34249 39417
147  5  6      72 11131 20275 27879 34250 39418
148  5  4      73 11132 20276 27880
149  5  4      74 11133 20277 27881
150  5  2      75 11134
151  5  2      76 11135
152  5  1      77
153  5  1      78
108  6  3      79 11136 20278
117  6  4      80 11137 20279 27882
118  6  4      81 11138 20280 27883
119  6  4      82 11139 20281 27884
120  6  4      83 11140 20282 27885
121  6  4      84 11141 20283 27886
122  6  4      85 11142 20284 27887
123  6  4      86 11143 20285 27888
124  6  4      87 11144 20286 27889
125  6  8      88 11145 20287 27890 34251 39419 43600 46886
126  6  7      89 11146 20288 27891 34252 39420 43601
127  6 10      90 11147 20289 27892 34253 39421 43602 46887 49424 51232
128  6 10      91 11148 20290 27893 34254 39422 43603 46888 49425 51233
129  6 10      92 11149 20291 27894 34255 39423 43604 46889 49426 51234
130  6 10      93 11150 20292 27895 34256 39424 43605 46890 49427 51235
131  6 11      94 11151 20293 27896 34257 39425 43606 46891 49428 51236 52569
132  6 11      95 11152 20294 27897 34258 39426 43607 46892 49429 51237 52570
133  6 11      96 11153 20295 27898 34259 39427 43608 46893 49430 51238 52571
134  6  7      97 11154 20296 27899 34260 39428 43609
135  6  7      98 11155 20297 27900 34261 39429 43610
136  6  5      99 11156 20298 27901 34262
137  6  5     100 11157 20299 27902 34263
138  6  5     101 11158 20300 27903 34264
139  6  5     102 11159 20301 27904 34265
140  6  5     103 11160 20302 27905 34266
141  6  5     104 11161 20303 27906 34267
142  6  5     105 11162 20304 27907 34268
143  6  6     106 11163 20305 27908 34269 39430
144  6  8     107 11164 20306 27909 34270 39431 43611 46894
145  6  6     108 11165 20307 27910 34271 39432
146  6  6     109 11166 20308 27911 34272 39433
147  6  4     110 11167 20309 27912
148  6  4     111 11168 20310 27913
149  6  4     112 11169 20311 27914
150  6  2     113 11170
151  6  2     114 11171
152  6  1     115
153  6  1     116
108  7  3     117 11172 20312
119  7  4     118 11173 20313 27915
120  7  4     119 11174 20314 27916
121  7  4     120 11175 20315 27917
122  7  4     121 11176 20316 27918
123  7  4     122 11177 20317 27919
124  7  4     123 11178 20318 27920
125  7  8     124 11179 20319 27921 34273 39434 43612 46895
126  7  7     125 11180 20320 27922 34274 39435 43613
127  7  7     126 11181 20321 27923 34275 39436 43614
128  7 10     127 11182 20322 27924 34276 39437 43615 46896 49431 51239
129  7 10     128 11183 20323 27925 34277 39438 43616 46897 49432 51240
130  7 10     129 11184 20324 27926 34278 39439 43617 46898 49433 51241
131  7 11     130 11185 20325 27927 34279 39440 43618 46899 49434 51242 52572
132  7 11     131 11186 20326 27928 34280 39441 43619 46900 49435 51243 52573
