Cell_ID,I,J,X,Y
1,108,2,390312.72,4064563.25
2,108,3,386127.81,4065675.5
3,108,4,384502.84,4068255.75
4,117,4,414642.41,4075672.75
5,118,4,415892.41,4077278
6,119,4,416823.91,4078726
7,120,4,417568.41,4079990.5
8,121,4,418135.38,4081030.75
9,122,4,418582.09,4081911
10,123,4,418969.91,4082652.75
11,124,4,419268.12,4083278
12,125,4,419553.88,4083870.5
13,126,4,419829.16,4084437.5
14,127,4,420095.38,4084985.25
15,128,4,420353.09,4085515.25
16,129,4,420602.75,4086030.5
17,130,4,420844.56,4086540.25
18,131,4,421077.56,4087042.5
19,132,4,421301.09,4087539.75
20,133,4,421515.59,4088042.5
21,134,4,421722.38,4088552.75
22,135,4,421925.62,4089082.5
23,136,4,422132.53,4089645
24,137,4,422350.09,4090247.25
25,138,4,422584.28,4090907.5
26,139,4,422841,4091632.75
27,140,4,423124.84,4092427.5
28,141,4,423438.31,4093302.75
29,142,4,423783,4094255
30,143,4,424158.47,4095290.25
31,144,4,424564.59,4096407.25
32,145,4,424999.38,4097599.75
33,146,4,425459.38,4098862.5
34,147,4,425940.84,4100182.5
35,148,4,426438.47,4101540.25
36,149,4,426942.69,4103195.25
37,150,4,427384.72,4105335.25
38,151,4,427709.81,4107673
39,152,4,427599.75,4110335
40,153,4,426946.25,4113211.75
41,108,5,384010.38,4070877.75
42,117,5,414081.97,4077902.75
43,118,5,414920.16,4079028.25
44,119,5,415516.47,4080033.5
45,120,5,416046.16,4080980.5
46,121,5,416493.59,4081778.25
47,122,5,416893.91,4082483.75
48,123,5,417266.44,4083135.75
49,124,5,417609.12,4083728
50,125,5,417939,4084292.5
51,126,5,418257.91,4084832.25
52,127,5,418567.62,4085353
53,128,5,418868.31,4085858
54,129,5,419160.31,4086347.75
55,130,5,419442.44,4086832.75
56,131,5,419712.69,4087313
57,132,5,419969.41,4087789.75
58,133,5,420211.62,4088275
59,134,5,420441.16,4088770.25
60,135,5,420661.41,4089290.5
61,136,5,420879.31,4089845
62,137,5,421103.16,4090440
63,138,5,421340.62,4091092.5
64,139,5,421599.12,4091807.25
65,140,5,421883.88,4092592.25
66,141,5,422198.31,4093457.5
67,142,5,422544.53,4094397.75
68,143,5,422922.69,4095417.5
69,144,5,423331.97,4096522.5
70,145,5,423770.09,4097702
71,146,5,424233.56,4098949.75
72,147,5,424718.28,4100252.25
73,148,5,425218,4101590
74,149,5,425735.19,4103187.5
75,150,5,426217.28,4105200.25
76,151,5,426597.38,4107402.25
77,152,5,426567.31,4109872.75
78,153,5,425993.75,4112449
79,108,6,384245.38,4072700.75
80,117,6,412814.25,4079270.5
81,118,6,413407.25,4080227.75
82,119,6,413896.97,4081065.5
83,120,6,414357.47,4081822.75
84,121,6,414793.25,4082517.5
85,122,6,415208.19,4083160.25
86,123,6,415606,4083757.75
87,124,6,415988.72,4084317.75
88,125,6,416358.81,4084850.25
89,126,6,416718.25,4085357.75
90,127,6,417068.44,4085845
91,128,6,417409.53,4086317.5
92,129,6,417741.62,4086778
93,130,6,418062.44,4087230.5
94,131,6,418368.69,4087680.25
95,132,6,418657.44,4088130.25
96,133,6,418927.16,4088587.5
97,134,6,419178.91,4089062.5
98,135,6,419416.69,4089562.5
99,136,6,419647.72,4090095
100,137,6,419880.41,4090675
101,138,6,420124.62,4091317.5
102,139,6,420388.16,4092022.5
103,140,6,420676.59,4092797.75
104,141,6,420994.59,4093650.25
105,142,6,421344.03,4094579.75
106,143,6,421725.53,4095592.75
107,144,6,422138.09,4096687.25
108,145,6,422578.56,4097857.25
109,146,6,423043.75,4099092.5
110,147,6,423529.31,4100382.75
111,148,6,424027.59,4101705
112,149,6,424514.31,4103240
113,150,6,424994.81,4105090
114,151,6,425429.84,4107130
115,152,6,425472.59,4109408.75
116,153,6,424997.28,4111697.5
117,108,7,384780.28,4074755.25
118,119,7,412127.12,4081930
